"cluster","pd","lgd dwt","ead","num ctp","sett","is","acca","cod type","cod stato","lgd pag"
"005109_41492",0.0027976946,0.194392398,143764.667914987,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"613108_581",0.0017637206,0.2343189465,32056.7802686622,10437,13,0.3,0.0009615289,0,0,0.1965257414
"005108_13874",0.001698804,0.1845801877,3932.55541401708,418091,5,0.3,1.72258e-05,0,0,0.150151248
"005110_858",0.0050928948,0.2066847819,28828.5530042529,286110,5,0.3,3.81605e-05,0,0,0.170589917
"005117_8636",0.1348372139,0.2285550364,60027.4918132957,54930,5,0.3,9.56534e-05,0,0,0.1926846469
"005108_47884",0.001698804,0.1845801877,34783.2940346598,418091,5,0.3,1.72258e-05,0,0,0.150151248
"005113_16284",0.0192875484,0.2052906677,25335.2896878244,373889,5,0.3,1.1033e-05,0,0,0.1686317579
"005107_27366",0.0010022497,0.1770468884,17992.9429472586,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"005110_13263",0.0050928948,0.2066847819,7353.77658164649,286110,5,0.3,3.81605e-05,0,0,0.170589917
"005116_35695",0.0719020006,0.2380512773,88750.848360696,301041,5,0.3,2.21565e-05,0,0,0.2022362627
"005108_16642",0.001698804,0.1845801877,172817.798880308,418091,5,0.3,1.72258e-05,0,0,0.150151248
"005106_4803",0.0006999989,0.1701066993,55891.7056513511,288177,5,0.3,4.76813e-05,0,0,0.1366911003
"610108_669",0.0017761099,0.2271846929,1284.53063924519,19925,10,0.3,0.0001727734,0,0,0.1889379183
"005107_34471",0.0010022497,0.1770468884,17609.1633584063,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"005108_45930",0.001698804,0.1845801877,82184.8273455615,418091,5,0.3,1.72258e-05,0,0,0.150151248
"005109_57501",0.0027976946,0.194392398,152225.852367444,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"618109_502",0.0027431914,0.206829109,11750.1431332953,4107,18,0.3,0.0012185815,0,0,0.1695262236
"005109_20129",0.0027976946,0.194392398,144151.39282763,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"005103_22050",3e-04,0.1829700477,2753.7219296397,401848,5,0.3,4.119e-05,0,0,0.1483535962
"005111_38188",0.0077907016,0.2131025561,90918.1632974676,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005103_3209",3e-04,0.1829700477,112606.533017009,401848,5,0.3,4.119e-05,0,0,0.1483535962
"005103_13900",3e-04,0.1829700477,56903.7985426555,401848,5,0.3,4.119e-05,0,0,0.1483535962
"005110_3633",0.0050928948,0.2066847819,108352.427672037,286110,5,0.3,3.81605e-05,0,0,0.170589917
"010113_1371",0.0192886197,0.359507159,511540.973254155,6624,10,0.3,0.0004541616,0,0,0.3354096329
"005103_3008",3e-04,0.1829700477,19807.2896837734,401848,5,0.3,4.119e-05,0,0,0.1483535962
"005108_56081",0.001698804,0.1845801877,81659.208365029,418091,5,0.3,1.72258e-05,0,0,0.150151248
"613112_1209",0.0121834102,0.3188155924,6553.14641130551,3123,13,0.3,0.0007446852,0,0,0.2828158274
"005106_16265",0.0006999989,0.1701066993,56761.682297243,288177,5,0.3,4.76813e-05,0,0,0.1366911003
"005107_8427",0.0010022497,0.1770468884,60915.5681379606,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"005107_8858",0.0010022497,0.1770468884,14013.5666847859,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"005109_13679",0.0027976946,0.194392398,37511.6086196414,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"619110_95",0.0050448668,0.2135089984,6997.09008463501,1955,19,0.3,0.0013564741,0,0,0.1759556162
"005111_46070",0.0077907016,0.2131025561,8261.51329031951,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005107_24746",0.0010022497,0.1770468884,118864.724969479,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"618108_485",0.0016989756,0.1900020325,7203.78242972398,2650,18,0.3,0.0016444336,0,0,0.1560183868
"005113_16029",0.0192875484,0.2052906677,1073.4687888028,373889,5,0.3,1.1033e-05,0,0,0.1686317579
"005118_618",0.2565108504,0.2230705366,82514.537908085,83292,5,0.3,8.3402e-05,0,0,0.1876993741
"610110_1513",0.004965357,0.2584059762,13199.2627143324,13295,10,0.3,0.0002663993,0,0,0.2214389639
"005107_12123",0.0010022497,0.1770468884,192777.993496057,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"005107_90764",0.0010022497,0.1770468884,19024.064869463,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"005111_112819",0.0077907016,0.2131025561,5394.32675379385,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005116_44106",0.0719020006,0.2380512773,6837.83759310858,301041,5,0.3,2.21565e-05,0,0,0.2022362627
"002115_97",0.0436731989,0.3166523546,193801.400125015,2280,2,0.3,0.0039414604,0,0,0.2941246867
"005107_2102",0.0010022497,0.1770468884,12922.6810052567,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"005110_24165",0.0050928948,0.2066847819,196283.389363902,286110,5,0.3,3.81605e-05,0,0,0.170589917
"610109_1382",0.0027198264,0.2444973574,7025.40791792256,54007,10,0.3,5.39604e-05,0,0,0.2033755871
"005109_30359",0.0027976946,0.194392398,4245.79390851405,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"005117_7315",0.1348372139,0.2285550364,37140.6647734527,54930,5,0.3,9.56534e-05,0,0,0.1926846469
"005109_27076",0.0027976946,0.194392398,21761.7308263531,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"005111_63830",0.0077907016,0.2131025561,99680.820127356,422315,5,0.3,8.844e-06,0,0,0.1762346968
"610109_14603",0.0027198264,0.2444973574,36994.8113027001,54007,10,0.3,5.39604e-05,0,0,0.2033755871
"010109_3803",0.0029333702,0.2917150744,18289.1829369225,37718,10,0.3,0.0001115956,0,0,0.2597947567
"013412_41",0.0127437694,0.3711071425,150418.54146891,126,13,0.3524808536,0.0053122242,0,0,0.3524628359
"005111_107132",0.0077907016,0.2131025561,12235.5748140835,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005111_88430",0.0077907016,0.2131025561,80905.9852730577,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005109_25950",0.0027976946,0.194392398,25654.9845534446,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"005111_70287",0.0077907016,0.2131025561,159532.624542158,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005117_10017",0.1348372139,0.2285550364,4772.49091128472,54930,5,0.3,9.56534e-05,0,0,0.1926846469
"613109_6888",0.0027311171,0.2412404152,27275.0499512108,23989,13,0.3,0.0001376287,0,0,0.2003579723
"005111_21006",0.0077907016,0.2131025561,4060.91714449402,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005109_85638",0.0027976946,0.194392398,51849.4935459385,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"005116_32320",0.0719020006,0.2380512773,2527.01446346321,301041,5,0.3,2.21565e-05,0,0,0.2022362627
"005107_61689",0.0010022497,0.1770468884,17198.0357971022,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"010510_121",0.0051060684,0.3146071923,1022712.04636104,184,10,0.3704634746,0.0037937481,0,0,0.2975483576
"005106_4713",0.0006999989,0.1701066993,61699.2414307993,288177,5,0.3,4.76813e-05,0,0,0.1366911003
"005108_39657",0.001698804,0.1845801877,40946.4290554555,418091,5,0.3,1.72258e-05,0,0,0.150151248
"005113_52062",0.0192875484,0.2052906677,6292.40142189377,373889,5,0.3,1.1033e-05,0,0,0.1686317579
"005116_25214",0.0719020006,0.2380512773,8373.62944107218,301041,5,0.3,2.21565e-05,0,0,0.2022362627
"013310_220",0.0050938835,0.378387738,127562.295171837,206,13,0.3305427583,0.0029041907,0,0,0.3597613688
"610110_1811",0.004965357,0.2584059762,16454.9333175319,13295,10,0.3,0.0002663993,0,0,0.2214389639
"005107_36967",0.0010022497,0.1770468884,89886.4486615068,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"005109_39681",0.0027976946,0.194392398,49498.2864252582,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"005115_1361",0.0407148977,0.2298021679,92782.4117910945,198294,5,0.3,5.23093e-05,0,0,0.1945576752
"005116_44019",0.0719020006,0.2380512773,65299.7046347301,301041,5,0.3,2.21565e-05,0,0,0.2022362627
"005113_56062",0.0192875484,0.2052906677,27317.6470273733,373889,5,0.3,1.1033e-05,0,0,0.1686317579
"610109_14725",0.0027198264,0.2444973574,19953.4795951963,54007,10,0.3,5.39604e-05,0,0,0.2033755871
"005111_37504",0.0077907016,0.2131025561,35318.6575825798,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005113_13198",0.0192875484,0.2052906677,14437.3676849775,373889,5,0.3,1.1033e-05,0,0,0.1686317579
"618107_292",0.0010191318,0.1901182164,127141.5243362,2620,18,0.3,0.0018544095,0,0,0.1547289095
"005111_37920",0.0077907016,0.2131025561,6136.31334804169,422315,5,0.3,8.844e-06,0,0,0.1762346968
"010107_2511",0.0012109317,0.3182074048,65602.8583374494,10648,10,0.3,0.0002074247,0,0,0.2828475707
"013107_1534",0.0012103061,0.3267171038,3472.9123799746,8186,13,0.3,0.0002087325,0,0,0.2914080305
"005111_62702",0.0077907016,0.2131025561,1903.59483143353,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005103_17896",3e-04,0.1829700477,20939.0674371315,401848,5,0.3,4.119e-05,0,0,0.1483535962
"010414_62",0.0314326538,0.3531193856,302323.760490605,62,10,0.3516350528,0.0080485873,0,0,0.3354768622
"005113_17932",0.0192875484,0.2052906677,40659.4905807305,373889,5,0.3,1.1033e-05,0,0,0.1686317579
"005109_67867",0.0027976946,0.194392398,571.516942054241,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"005111_9911",0.0077907016,0.2131025561,105046.998423964,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005113_44980",0.0192875484,0.2052906677,3683.76127378885,373889,5,0.3,1.1033e-05,0,0,0.1686317579
"005103_17535",3e-04,0.1829700477,40486.235155505,401848,5,0.3,4.119e-05,0,0,0.1483535962
"005111_4424",0.0077907016,0.2131025561,104274.378504705,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005116_3699",0.0719020006,0.2380512773,44937.4203129469,301041,5,0.3,2.21565e-05,0,0,0.2022362627
"005108_12889",0.001698804,0.1845801877,10870.0825629281,418091,5,0.3,1.72258e-05,0,0,0.150151248
"005106_1795",0.0006999989,0.1701066993,45665.3891301989,288177,5,0.3,4.76813e-05,0,0,0.1366911003
